,DI_DAILY
1986-03-06,18.72
1986-03-07,18.72
1986-03-10,18.99
1986-03-11,18.99
1986-03-12,18.51
1986-03-13,18.51
1986-03-14,17.67
1986-03-17,18.75
1986-03-18,18.25
1986-03-19,18.01
1986-03-20,17.68
1986-03-21,17.92
1986-03-24,17.94
1986-03-25,18.16
1986-03-26,18.16
1986-03-27,18.16
1986-03-28,18.16
1986-03-31,18.36
1986-04-01,17.73
1986-04-02,17.74
1986-04-03,17.97
1986-04-04,17.92
1986-04-07,17.98
1986-04-08,17.82
1986-04-09,17.82
1986-04-10,17.74
1986-04-11,17.72
1986-04-14,17.72
1986-04-15,17.54
1986-04-16,17.75
1986-04-17,17.78
1986-04-18,17.5
1986-04-21,17.5
1986-04-22,17.68
1986-04-23,17.74
1986-04-24,17.7
1986-04-25,17.62
1986-04-28,17.73
1986-04-29,17.79
1986-04-30,17.66
1986-05-01,17.66
1986-05-02,17.74
1986-05-05,17.87
1986-05-06,18.01
1986-05-07,17.98
1986-05-08,17.9
1986-05-09,17.84
1986-05-12,17.98
1986-05-13,17.92
1986-05-14,18.02
1986-05-15,18.01
1986-05-16,17.92
1986-05-19,17.98
1986-05-20,17.9
1986-05-21,17.91
1986-05-22,17.92
1986-05-23,17.86
1986-05-26,17.86
1986-05-27,17.85
1986-05-28,18.01
1986-05-29,18.42
1986-05-30,18.59
1986-06-02,18.83
1986-06-03,19.13
1986-06-04,19.75
1986-06-05,20.23
1986-06-06,20.37
1986-06-09,20.86
1986-06-10,20.74
1986-06-11,20.45
1986-06-12,20.1
1986-06-13,20.39
1986-06-16,20.42
1986-06-17,20.53
1986-06-18,20.74
1986-06-19,20.86
1986-06-20,20.54
1986-06-23,20.96
1986-06-24,21.14
1986-06-25,21.0
1986-06-26,21.21
1986-06-27,21.15
1986-06-30,21.35
1986-07-01,21.31
1986-07-02,21.76
1986-07-03,23.49
1986-07-04,26.56
1986-07-07,27.26
1986-07-08,27.15
1986-07-09,27.4
1986-07-10,27.66
1986-07-11,27.57
1986-07-14,27.45
1986-07-15,27.37
1986-07-16,27.47
1986-07-17,27.56
1986-07-18,27.49
1986-07-21,27.52
1986-07-22,27.6
1986-07-23,28.9
1986-07-24,29.37
1986-07-25,29.32
1986-07-28,29.2
1986-07-29,29.29
1986-07-30,29.34
1986-07-31,29.51
