,SP500,USD_EUR,USD_GBP
1996-01-01,,,
1996-01-02,36.913909912109375,,1.5565
1996-01-03,37.016021728515625,,1.5517
1996-01-04,36.663299560546875,,1.5463
1996-01-05,36.589046478271484,,1.552
1996-01-08,36.728271484375,,1.5495
1996-01-09,36.097110748291016,,1.5475
1996-01-10,35.62371826171875,,1.5456
1996-01-11,35.83721160888672,,1.5445
1996-01-12,35.781532287597656,,1.5487
1996-01-15,35.707279205322266,,
1996-01-16,36.14350891113281,,1.538
1996-01-17,36.032127380371094,,1.5255
1996-01-18,36.15277862548828,,1.5228
1996-01-19,36.39411544799805,,1.5093
1996-01-22,36.403404235839844,,1.5135
1996-01-23,36.486934661865234,,1.5135
1996-01-24,36.78395080566406,,1.5092
1996-01-25,36.65399932861328,,1.5075
1996-01-26,36.9695930480957,,1.503
1996-01-29,37.11811065673828,,1.5063
1996-01-30,37.43370056152344,,1.5037
1996-01-31,37.82351303100586,,1.5096
1996-02-01,37.9627571105957,,1.5132
1996-02-02,37.80497360229492,,1.519
1996-02-05,38.11125946044922,,1.5352
1996-02-06,38.47325134277344,,1.5402
1996-02-07,38.69602584838867,,1.5365
1996-02-08,39.11370086669922,,1.5374
1996-02-09,39.10442352294922,,1.5318
1996-02-12,39.40142822265625,,1.5308
1996-02-13,39.31791305541992,,1.534
1996-02-14,38.974491119384766,,1.5371
1996-02-15,38.73313522338867,,1.5385
1996-02-16,38.57535171508789,,1.5487
1996-02-19,,,
1996-02-20,38.19480514526367,,1.5445
1996-02-21,38.668148040771484,,1.5425
1996-02-22,39.280765533447266,,1.5435
1996-02-23,39.16937255859375,,1.541
1996-02-26,38.612491607666016,,1.54
1996-02-27,38.49181365966797,,1.5398
1996-02-28,38.31544876098633,,1.5335
1996-02-29,37.9442024230957,,1.532
1996-03-01,38.54751968383789,,1.5273
1996-03-04,38.770286560058594,,1.5284
1996-03-05,39.13225173950195,,1.529
1996-03-06,38.788848876953125,,1.529
1996-03-07,38.98377227783203,,1.53
1996-03-08,37.721431732177734,,1.524
1996-03-11,38.15768051147461,,1.5238
1996-03-12,37.86063766479492,,1.5213
1996-03-13,38.12054443359375,,1.5225
1996-03-14,38.28762435913086,,1.5231
1996-03-15,38.261905670166016,,1.525
1996-03-18,38.9984016418457,,1.53
1996-03-19,38.91450881958008,,1.5327
1996-03-20,38.867897033691406,,1.5376
1996-03-21,38.77465057373047,,1.536
1996-03-22,38.87721633911133,,1.5334
1996-03-25,38.80261993408203,,1.523
1996-03-26,38.98908233642578,,1.524
1996-03-27,38.634822845458984,,1.5181
1996-03-28,38.784000396728516,,1.5239
1996-03-29,38.59752655029297,,1.5262
1996-04-01,39.04502868652344,,1.5244
1996-04-02,39.11962127685547,,1.5248
1996-04-03,39.11962127685547,,1.526
1996-04-04,39.09162902832031,,1.5295
1996-04-05,,,1.5287
1996-04-08,38.420372009277344,,1.531
1996-04-09,38.27121353149414,,1.5243
1996-04-10,37.59062194824219,,1.5115
1996-04-11,37.544010162353516,,1.5125
1996-04-12,38.01949691772461,,1.5123
1996-04-15,38.336490631103516,,1.5085
1996-04-16,38.44834899902344,,1.5071
1996-04-17,38.355133056640625,,1.507
1996-04-18,38.41105651855469,,1.51
1996-04-19,38.5042610168457,,1.5168
1996-04-22,38.80261993408203,,1.5112
1996-04-23,38.923828125,,1.5161
1996-04-24,38.784000396728516,,1.5138
1996-04-25,38.961116790771484,,1.5127
1996-04-26,39.04502868652344,,1.5103
1996-04-29,39.04502868652344,,1.5094
1996-04-30,39.017066955566406,,1.505
1996-05-01,39.10095977783203,,1.4948
1996-05-02,38.42970275878906,,1.503
1996-05-03,38.3737678527832,,1.5042
1996-05-06,38.336490631103516,,1.5072
1996-05-07,38.17796325683594,,1.5125
1996-05-08,38.653465270996094,,1.5215
1996-05-09,38.6254997253418,,1.522
1996-05-10,39.00772476196289,,1.5223
1996-05-13,39.5950927734375,,1.5145
1996-05-14,39.83750534057617,,1.5149
1996-05-15,39.790870666503906,,1.513
1996-05-16,39.87477493286133,,1.5133
1996-05-17,40.089229583740234,,1.515
1996-05-20,40.35958480834961,,1.513
1996-05-21,40.30364227294922,,1.5115
1996-05-22,40.6859016418457,,1.5103
1996-05-23,40.51808547973633,,1.5134
1996-05-24,40.676551818847656,,1.511
1996-05-27,,,
1996-05-28,40.26634979248047,,1.5127
1996-05-29,39.995967864990234,,1.5211
1996-05-30,40.20109176635742,,1.5345
1996-05-31,39.902767181396484,,1.5495
1996-06-03,40.01463317871094,,1.5515
1996-06-04,40.29431915283203,,1.5485
1996-06-05,40.64860916137695,,1.5474
1996-06-06,40.350242614746094,,1.5405
1996-06-07,40.350242614746094,,1.541
1996-06-10,40.2197380065918,,1.5322
1996-06-11,40.18242645263672,,1.5355
1996-06-12,40.10784912109375,,1.5345
1996-06-13,40.10784912109375,,1.532
1996-06-14,39.940032958984375,,1.5358
1996-06-17,39.912086486816406,,1.545
1996-06-18,39.58576583862305,,1.5435
1996-06-19,39.76292037963867,,1.5433
1996-06-20,39.73494338989258,,1.5418
1996-06-21,40.07667922973633,,1.5383
1996-06-24,40.151676177978516,,1.54
1996-06-25,40.10481643676758,,1.5405
1996-06-26,39.83300018310547,,1.5414
1996-06-27,40.11418151855469,,1.5462
1996-06-28,40.25477600097656,,1.5529
1996-07-01,40.601539611816406,,1.5545
1996-07-02,40.451576232910156,,1.5583
1996-07-03,40.367225646972656,,1.5587
1996-07-04,,,
1996-07-05,39.336273193359375,,1.5522
1996-07-08,39.176944732666016,,1.553
1996-07-09,39.336273193359375,,1.5495
1996-07-10,39.4955940246582,,1.5504
1996-07-11,38.69895553588867,,1.5555
1996-07-12,38.727054595947266,,1.5525
1996-07-15,37.583614349365234,,1.55
1996-07-16,37.67734146118164,,1.5585
1996-07-17,38.12721252441406,,1.5432
1996-07-18,38.65209197998047,,1.5479
1996-07-19,38.37091064453125,,1.5466
1996-07-22,38.08972930908203,,1.5512
1996-07-23,37.60236740112305,,1.5515
1996-07-24,37.67734146118164,,1.5525
1996-07-25,38.01475143432617,,1.5572
1996-07-26,38.22093963623047,,1.5545
1996-07-29,37.7991828918457,,1.557
1996-07-30,38.16473388671875,,1.5558
1996-07-31,38.44587707519531,,1.5556
1996-08-01,39.083213806152344,,1.5572
1996-08-02,39.926734924316406,,1.5418
1996-08-05,39.692413330078125,,1.5442
1996-08-06,39.81427001953125,,1.5375
1996-08-07,39.91734313964844,,1.5418
1996-08-08,39.851768493652344,,1.5497
1996-08-09,39.72053909301758,,1.549
1996-08-12,40.01109313964844,,1.5505
1996-08-13,39.692413330078125,,1.5499
1996-08-14,39.83300018310547,,1.5483
1996-08-15,39.75802993774414,,1.5504
1996-08-16,40.0954475402832,,1.5468
1996-08-19,40.11418151855469,,1.5444
1996-08-20,40.08607482910156,,1.5473
1996-08-21,39.94547653198242,,1.5497
1996-08-22,40.32038116455078,,1.5508
1996-08-23,40.10481643676758,,1.553
1996-08-26,39.90798568725586,,1.5553
1996-08-27,40.057945251464844,,1.553
1996-08-28,39.99235153198242,,1.5593
1996-08-29,39.59869384765625,,1.5563
1996-08-30,39.18629837036133,,1.5612
1996-09-02,,,
1996-09-03,39.439369201660156,,1.5671
1996-09-04,39.47686767578125,,1.567
1996-09-05,38.99885940551758,,1.5667
1996-09-06,39.55183029174805,,1.5607
1996-09-09,40.02046585083008,,1.5582
1996-09-10,40.00172424316406,,1.5569
1996-09-11,40.226646423339844,,1.555
1996-09-12,40.507808685302734,,1.5538
