,USDBRL,USDEUR
1996-01-02,0.9726,
1996-01-03,0.9727,
1996-01-04,0.9728,
1996-01-05,0.9727,
1996-01-08,0.9726,
1996-01-09,0.9726,
1996-01-10,0.9726,
1996-01-11,0.973,
1996-01-12,0.9734,
1996-01-15,0.9727,
1996-01-16,0.9726,
1996-01-17,0.9727,
1996-01-18,0.9729,
1996-01-19,0.9732,
1996-01-22,0.9746,
1996-01-23,0.9766,
1996-01-24,0.9769,
1996-01-25,0.9768,
1996-01-26,0.9784,
1996-01-29,0.9788,
1996-01-30,0.9787,
1996-01-31,0.9786,
1996-02-01,0.9786,
1996-02-02,0.9786,
1996-02-05,0.9787,
1996-02-06,0.9786,
1996-02-07,0.9788,
1996-02-08,0.9787,
1996-02-09,0.9788,
1996-02-12,0.9787,
1996-02-13,0.9806,
1996-02-14,0.9813,
1996-02-15,0.9834,
1996-02-16,0.9832,
1996-02-21,0.9823,
1996-02-22,0.9824,
1996-02-23,0.9822,
1996-02-26,0.9836,
1996-02-27,0.984,
1996-02-28,0.9838,
1996-02-29,0.9842,
1996-03-01,0.984,
1996-03-04,0.9837,
1996-03-05,0.9837,
1996-03-06,0.9837,
1996-03-07,0.9845,
1996-03-08,0.9843,
1996-03-11,0.9843,
1996-03-12,0.9842,
1996-03-13,0.9854,
1996-03-14,0.9869,
1996-03-15,0.9868,
1996-03-18,0.9866,
1996-03-19,0.9868,
1996-03-20,0.9883,
1996-03-21,0.9874,
1996-03-22,0.9875,
1996-03-25,0.9879,
1996-03-26,0.9881,
1996-03-27,0.9883,
1996-03-28,0.9881,
1996-03-29,0.988,
1996-04-01,0.9881,
1996-04-02,0.9875,
1996-04-03,0.9874,
1996-04-08,0.9875,
1996-04-09,0.9886,
1996-04-10,0.9896,
1996-04-11,0.9908,
1996-04-12,0.9905,
1996-04-15,0.9899,
1996-04-16,0.9903,
1996-04-17,0.99,
1996-04-18,0.9896,
1996-04-19,0.9915,
1996-04-22,0.9916,
1996-04-23,0.9915,
1996-04-24,0.9916,
1996-04-25,0.9917,
1996-04-26,0.9922,
1996-04-29,0.9926,
1996-04-30,0.9925,
1996-05-02,0.9925,
1996-05-03,0.9926,
1996-05-06,0.9926,
1996-05-07,0.9927,
1996-05-08,0.9928,
1996-05-09,0.9939,
1996-05-10,0.9946,
1996-05-13,0.9951,
1996-05-14,0.996,
1996-05-15,0.9958,
1996-05-16,0.9965,
1996-05-17,0.9958,
1996-05-20,0.9956,
1996-05-21,0.9956,
1996-05-22,0.9958,
1996-05-23,0.9962,
1996-05-24,0.9968,
1996-05-27,0.9966,
1996-05-28,0.9965,
1996-05-29,0.9967,
1996-05-30,0.9971,
1996-05-31,0.9984,
1996-06-03,0.9986,
1996-06-04,0.9985,
1996-06-05,0.9987,
1996-06-07,0.9989,
1996-06-10,0.9998,
1996-06-11,0.9996,
1996-06-12,1.0007,
1996-06-13,1.0005,
1996-06-14,1.0015,
1996-06-17,1.0016,
1996-06-18,1.0016,
1996-06-19,1.002,
1996-06-20,1.0025,
1996-06-21,1.003,
1996-06-24,1.003,
1996-06-25,1.0029,
1996-06-26,1.0039,
1996-06-27,1.0036,
1996-06-28,1.0044,
1996-07-01,1.0045,
1996-07-02,1.0052,
1996-07-03,1.0051,
1996-07-04,1.0049,
1996-07-05,1.0048,
1996-07-08,1.0049,
1996-07-09,1.0055,
1996-07-10,1.0057,
1996-07-11,1.0056,
1996-07-12,1.0056,
1996-07-15,1.0062,
1996-07-16,1.0065,
1996-07-17,1.0066,
1996-07-18,1.0071,
1996-07-19,1.0075,
1996-07-22,1.0077,
1996-07-23,1.0078,
1996-07-24,1.0086,
1996-07-25,1.0087,
1996-07-26,1.0092,
1996-07-29,1.0099,
1996-07-30,1.0107,
1996-07-31,1.0112,
1996-08-01,1.0108,
1996-08-02,1.0104,
1996-08-05,1.0101,
1996-08-06,1.0107,
1996-08-07,1.0116,
1996-08-08,1.0115,
1996-08-09,1.0119,
1996-08-12,1.0122,
1996-08-13,1.0126,
1996-08-14,1.0129,
1996-08-15,1.013,
1996-08-16,1.0135,
1996-08-19,1.0136,
1996-08-20,1.0144,
1996-08-21,1.0147,
1996-08-22,1.0148,
1996-08-23,1.0153,
1996-08-26,1.0155,
1996-08-27,1.0159,
1996-08-28,1.0161,
1996-08-29,1.0167,
1996-08-30,1.0169,
1996-09-02,1.0165,
1996-09-03,1.0167,
1996-09-04,1.0172,
1996-09-05,1.0174,
1996-09-06,1.0179,
1996-09-09,1.019,
1996-09-10,1.0202,
1996-09-11,1.0188,
1996-09-12,1.0197,
1996-09-13,1.02,
1996-09-16,1.0192,
1996-09-17,1.0195,
1996-09-18,1.0196,
1996-09-19,1.0196,
1996-09-20,1.0199,
1996-09-23,1.0202,
1996-09-24,1.0202,
1996-09-25,1.0205,
1996-09-26,1.0205,
1996-09-27,1.021,
1996-09-30,1.0215,
1996-10-01,1.0215,
1996-10-02,1.0215,
1996-10-04,1.022,
1996-10-07,1.0225,
1996-10-08,1.0225,
1996-10-09,1.0233,
1996-10-10,1.0247,
1996-10-11,1.0254,
1996-10-14,1.0247,
1996-10-15,1.0251,
1996-10-16,1.0253,
1996-10-17,1.025,
1996-10-18,1.0252,
1996-10-21,1.0254,
1996-10-22,1.0263,
1996-10-23,1.027,
1996-10-24,1.0264,
1996-10-25,1.0272,
1996-10-28,1.0279,
1996-10-29,1.0285,
1996-10-30,1.0275,
1996-10-31,1.0276,
1996-11-01,1.028,
1996-11-04,1.028,
1996-11-05,1.028,
1996-11-06,1.028,
1996-11-07,1.0288,
1996-11-08,1.0295,
1996-11-11,1.0297,
1996-11-12,1.0311,
1996-11-13,1.0309,
1996-11-14,1.0305,
1996-11-18,1.0304,
1996-11-19,1.0303,
1996-11-20,1.0308,
1996-11-21,1.0311,
1996-11-22,1.0311,
1996-11-25,1.0311,
1996-11-26,1.032,
1996-11-27,1.0324,
1996-11-28,1.0328,
1996-11-29,1.0332,
1996-12-02,1.0331,
1996-12-03,1.0331,
1996-12-04,1.0338,
1996-12-05,1.0346,
1996-12-06,1.0351,
1996-12-09,1.035,
1996-12-10,1.0359,
1996-12-11,1.0369,
1996-12-12,1.0376,
1996-12-13,1.0381,
1996-12-16,1.0389,
1996-12-17,1.0407,
1996-12-18,1.0383,
1996-12-19,1.0384,
1996-12-20,1.0387,
1996-12-23,1.0388,
1996-12-24,1.039,
1996-12-26,1.0389,
1996-12-27,1.04,
1996-12-30,1.0394,
1996-12-31,1.0394,
1997-01-02,1.0395,
1997-01-03,1.0398,
1997-01-06,1.0405,
1997-01-07,1.0405,
1997-01-08,1.041,
1997-01-09,1.0415,
1997-01-10,1.0414,
1997-01-13,1.042,
1997-01-14,1.0422,
1997-01-15,1.0426,
1997-01-16,1.0436,
1997-01-17,1.0439,
1997-01-20,1.0432,
1997-01-21,1.0435,
1997-01-22,1.0436,
1997-01-23,1.0438,
1997-01-24,1.0441,
1997-01-27,1.0441,
1997-01-28,1.0449,
1997-01-29,1.0456,
1997-01-30,1.0457,
1997-01-31,1.0461,
1997-02-03,1.0457,
1997-02-04,1.0463,
1997-02-05,1.047,
1997-02-06,1.0472,
1997-02-07,1.048,
1997-02-12,1.0476,
1997-02-13,1.0487,
1997-02-14,1.0495,
1997-02-17,1.0491,
1997-02-18,1.0495,
1997-02-19,1.0504,
1997-02-20,1.0505,
1997-02-21,1.0508,
1997-02-24,1.0507,
1997-02-25,1.0511,
1997-02-26,1.0517,
1997-02-27,1.0515,
1997-02-28,1.0515,
1997-03-03,1.0515,
1997-03-04,1.0517,
1997-03-05,1.0526,
1997-03-06,1.053,
1997-03-07,1.0532,
1997-03-10,1.0532,
1997-03-11,1.0539,
1997-03-12,1.0544,
1997-03-13,1.0557,
1997-03-14,1.0554,
1997-03-17,1.0582,
1997-03-18,1.0589,
1997-03-19,1.0605,
1997-03-20,1.0602,
1997-03-21,1.0611,
1997-03-24,1.0615,
1997-03-25,1.0612,
1997-03-26,1.0609,
1997-03-31,1.0593,
1997-04-01,1.0594,
1997-04-02,1.0598,
1997-04-03,1.0584,
1997-04-04,1.0585,
1997-04-07,1.059,
1997-04-08,1.0588,
1997-04-09,1.059,
1997-04-10,1.0589,
1997-04-11,1.0595,
1997-04-14,1.06,
1997-04-15,1.0606,
1997-04-16,1.0611,
1997-04-17,1.0613,
1997-04-18,1.0618,
1997-04-22,1.0629,
1997-04-23,1.0633,
1997-04-24,1.0631,
1997-04-25,1.0632,
1997-04-28,1.0632,
1997-04-29,1.0633,
1997-04-30,1.0638,
1997-05-02,1.0643,
1997-05-05,1.0647,
1997-05-06,1.065,
1997-05-07,1.0653,
1997-05-08,1.0651,
1997-05-09,1.066,
1997-05-12,1.0673,
1997-05-13,1.068,
1997-05-14,1.0683,
1997-05-15,1.0678,
1997-05-16,1.0677,
1997-05-19,1.068,
1997-05-20,1.0685,
1997-05-21,1.0689,
1997-05-22,1.0698,
1997-05-23,1.0709,
1997-05-26,1.0721,
1997-05-27,1.0728,
1997-05-28,1.0732,
1997-05-30,1.0717,
1997-06-02,1.0709,
1997-06-03,1.0715,
1997-06-04,1.0726,
1997-06-05,1.0728,
1997-06-06,1.0728,
1997-06-09,1.073,
1997-06-10,1.0729,
1997-06-11,1.0734,
1997-06-12,1.0738,
1997-06-13,1.0745,
1997-06-16,1.0741,
1997-06-17,1.0741,
1997-06-18,1.075,
1997-06-19,1.0757,
1997-06-20,1.0777,
1997-06-23,1.0769,
1997-06-24,1.077,
1997-06-25,1.0769,
1997-06-26,1.0768,
1997-06-27,1.0772,
1997-06-30,1.0769,
1997-07-01,1.0771,
1997-07-02,1.0773,
1997-07-03,1.0778,
1997-07-04,1.0779,
1997-07-07,1.0781,
1997-07-08,1.079,
1997-07-09,1.0796,
1997-07-10,1.0797,
1997-07-11,1.0803,
1997-07-14,1.0806,
1997-07-15,1.0808,
1997-07-16,1.0811,
1997-07-17,1.0812,
1997-07-18,1.0816,
1997-07-21,1.0815,
1997-07-22,1.0817,
1997-07-23,1.0823,
